cluster_id,caseName,us_cite,volume,scdb_id,dateFiled,bucket,reason
84896,Hodgson v. Marine Ins. Co. of Alexandria,9 U.S. 100,9,1809-013,1809-02-24,KEEP,has scdb_id
84904,The United States v. John Arthur and Robert Patterson,9 U.S. 257,9,1809-014,1809-02-24,KEEP,has scdb_id
84906,The United States v. Evans,9 U.S. 280,9,1809-015,1809-02-27,KEEP,has scdb_id
84901,The Marine Insurance Company of Alexandria v. James Young,9 U.S. 187,9,1809-016,1809-02-28,KEEP,has scdb_id
84891,Young v. The Bank of Alexandria,9 U.S. 45,9,1809-023,1809-03-10,KEEP,has scdb_id
84892,Yeaton v. Bank of Alexandria,9 U.S. 49,9,1809-024,1809-03-10,KEEP,has scdb_id
84914,Himely v. Rose,9 U.S. 313,9,1809-025,1809-03-10,KEEP,has scdb_id
84889,McKeen v. Delancy's Lessee,9 U.S. 22,9,1809-026,1809-03-11,KEEP,has scdb_id
84917,Dulany v. Hodgkin,9 U.S. 333,9,1809-027,1809-03-11,KEEP,has scdb_id
84899,Pierce v. Turner,9 U.S. 154,9,1809-028,1809-03-13,KEEP,has scdb_id
84916,Riddle & Co. v. Mandeville & Jamesson,9 U.S. 322,9,1809-029,1809-03-13,KEEP,has scdb_id
84918,Yeaton v. Fry,9 U.S. 335,9,1809-030,1809-03-13,KEEP,has scdb_id
84920,Moss v. Riddle & Co,9 U.S. 351,9,1809-031,1809-03-13,KEEP,has scdb_id
84902,Bodley v. Taylor,9 U.S. 191,9,1809-032,1809-03-14,KEEP,has scdb_id
84905,Hepburn & Dundas v. Auld,9 U.S. 262,9,1809-033,1809-03-14,KEEP,has scdb_id
84912,Keene v. The United States,9 U.S. 304,9,1809-034,1809-03-14,KEEP,has scdb_id
84919,Owings v. Norwood's Lessee,9 U.S. 344,9,1809-035,1809-03-14,KEEP,has scdb_id
84922,Auld v. Norwood,9 U.S. 361,9,1809-036,1809-03-14,KEEP,has scdb_id
84925,Sloop Sally v. The United States,9 U.S. 372,9,1809-037,1809-03-14,KEEP,has scdb_id
84893,The Hope Insurance Company of Providence v. Boardman,9 U.S. 57,9,1809-038,1809-03-15,KEEP,has scdb_id
84894,Bank of the United States v. Deveaux,9 U.S. 61,9,1809-039,1809-03-15,KEEP,has scdb_id
84909,Rush v. Parker,9 U.S. 287,9,1809-040,1809-03-15,KEEP,has scdb_id
84911,Harrison v. Sterry,9 U.S. 289,9,1809-041,1809-03-15,KEEP,has scdb_id
84921,Brent v. Chapman,9 U.S. 358,9,1809-042,1809-03-15,KEEP,has scdb_id
84923,Slacum v. Simms and Wise,9 U.S. 363,9,1809-043,1809-03-15,KEEP,has scdb_id
84924,The United States v. Vowell and M'clean,9 U.S. 368,9,1809-044,1809-03-15,KEEP,has scdb_id
2620972,Rodford v. Craig,9 U.S. 289,9,1809-019,1809-03-15,KEEP,has scdb_id
84903,Taylor & Quarles v. Brown,9 U.S. 234,9,1809-017,1809-03-18,KEEP,has scdb_id
84907,"Yeaton and Others, of the Schooner General Pinkney and Cargo v. The United States",9 U.S. 281,9,1809-020,1809-03-18,KEEP,has scdb_id
84908,United States v. Potts,9 U.S. 284,9,1809-021,1809-03-18,KEEP,has scdb_id
84910,Logan v. Patrick,9 U.S. 288,9,1809-018,1809-03-18,KEEP,has scdb_id
84913,United States v. Riddle,9 U.S. 311,9,1809-022,1809-03-18,KEEP,has scdb_id
84930,"Wilson, Ex Parte",10 U.S. 52,10,1809-045,1810-02-01,KEEP,has scdb_id
84934,Riddle and Company v. Mandeville and Jamesson,10 U.S. 86,10,1809-046,1810-02-01,KEEP,has scdb_id
