cluster_id,caseName,us_cite,dateFiled,n_opinions,total_chars,text_sources
84968,The United States v. Hudson and Goodwin,11 U.S. 32,1812-03-14,1,5170,html_with_citations
84987,Barton v. Petit and Bayard,11 U.S. 194,1812-03-14,1,19683,html_with_citations
84990,Sheehy v. Mandeville,11 U.S. 208,1812-03-14,1,28906,html_with_citations
84991,Conway's Executors & Devisees v. Alexander,11 U.S. 218,1812-03-14,1,15930,html_with_citations
84992,Dunlop v. Munroe,11 U.S. 242,1812-03-14,1,75304,html_with_citations
84995,Blackwell v. Patten and Others,11 U.S. 277,1812-03-14,1,2149,html_with_citations
84997,M'kim v. Voorhies,11 U.S. 279,1812-03-14,1,4730,html_with_citations
2490089,Wise & Lynn v. the Columbian Turnpike Company,11 U.S. 276,1812-03-14,1,454,html_with_citations
84976,The United States v. The Brig Eliza,11 U.S. 113,1812-03-18,1,6463,html_with_citations
84978,Schooner Exchange v. McFaddon,11 U.S. 116,1812-03-18,1,27577,html_with_citations
84980,Welch v. Mandeville,11 U.S. 152,1812-03-18,1,10811,html_with_citations
84982,Welch v. Lindo,11 U.S. 159,1812-03-18,1,4443,html_with_citations
84983,New Jersey v. Wilson,11 U.S. 164,1812-03-18,1,7666,html_with_citations
84984,King v. Riddle,11 U.S. 168,1812-03-18,1,8388,html_with_citations
84985,Davy's Executors v. Faw,11 U.S. 171,1812-03-18,1,11228,html_with_citations
84986,Hughes v. Moore,11 U.S. 176,1812-03-18,1,11515,html_with_citations
85003,The BANK OF COLUMBIA v. PATTERSON’S Adm’r,11 U.S. 299,1813-02-05,1,13584,html_with_citations
85000,The United States v. Gordon and Others,11 U.S. 287,1813-02-10,1,2431,html_with_citations
85002,Queen v. Hepburn,11 U.S. 290,1813-02-12,1,13028,html_with_citations
85004,Clark's Executors v. Carrington,11 U.S. 308,1813-02-13,1,14977,html_with_citations
85005,Dickey v. Baltimore Insurance,11 U.S. 327,1813-02-17,1,8027,html_with_citations
85006,Marine Ins. Co. of Alexandria v. Hodgson,11 U.S. 332,1813-02-18,1,7157,html_with_citations
85007,Locke v. United States,11 U.S. 339,1813-02-19,1,10094,html_with_citations
85008,The Schooner Good Catharine v. The United States,11 U.S. 349,1813-02-20,1,2770,html_with_citations
85009,Bond and Another v. Jay,11 U.S. 350,1813-02-22,1,5218,html_with_citations
85011,Brig Penobscot v. The United States,11 U.S. 356,1813-02-23,1,7305,html_with_citations
85010,Preston v. Tremble,11 U.S. 354,1813-02-24,1,4878,html_with_citations
85012,Caze v. Baltimore Insurance,11 U.S. 358,1813-02-24,1,3349,html_with_citations
85013,The Schooner Jane v. The United States,11 U.S. 363,1813-02-24,1,5053,html_with_citations
85014,Lee v. Munroe,11 U.S. 366,1813-02-26,1,5943,html_with_citations
85015,Herbert & Others v. WREN & OTHERS,11 U.S. 370,1813-02-26,1,13565,html_with_citations
85016,"The Cargo of the Brig Aurora, Burn Side v. The United States",11 U.S. 382,1813-02-26,1,17751,html_with_citations
85017,Schooner Hoppet & Cargo v. United States,11 U.S. 389,1813-02-27,1,10359,html_with_citations
6726503,Williams v. Armroyd,11 U.S. 423,1813-03-08,1,5018,html_with_citations
85026,Holker v. Parker,11 U.S. 436,1813-03-10,1,15907,html_with_citations
85027,Barnitz's Lessee v. Casey,11 U.S. 456,1813-03-11,1,18491,html_with_citations
85028,Blackwell v. Patton & Irwin's Lessee,11 U.S. 471,1813-03-11,1,13494,html_with_citations
85029,Mills v. Duryee,11 U.S. 481,1813-03-11,1,9323,html_with_citations
85020,The Maryland Insurance Company. v. Wood,11 U.S. 402,1813-03-13,1,13778,html_with_citations
85030,Oliver v. Maryland Insurance,11 U.S. 487,1813-03-13,1,16743,html_with_citations
85032,Riggs v. Lindsay,11 U.S. 500,1813-03-15,1,8247,html_with_citations
85033,McIntire v. Wood,11 U.S. 504,1813-03-15,1,2715,html_with_citations
85034,Livingston & Gilchrist v. Maryland Insurance,11 U.S. 506,1813-03-15,1,34395,html_with_citations
85045,Fairfax's v. Hunter's Lessee,11 U.S. 603,1813-03-15,1,38170,html_with_citations
85001,Barton v. Petit,11 U.S. 288,1813-03-16,1,3759,html_with_citations
85031,"Brig Caroline, William Broadfoot v. The United States",11 U.S. 496,1813-03-16,1,11903,html_with_citations
85035,Young v. Crundy,11 U.S. 548,1813-03-16,1,1461,html_with_citations
85036,Palmer v. Allen,11 U.S. 550,1813-03-16,1,38039,html_with_citations
85037,Young v. Black,11 U.S. 565,1813-03-16,1,8249,html_with_citations
85038,Schooner Anne v. United States,11 U.S. 570,1813-03-16,1,477,html_with_citations
85039,U. States v. January & Patterson,11 U.S. 572,1813-03-16,1,6797,html_with_citations
85040,The United States v. Patterson,11 U.S. 575,1813-03-16,1,2392,html_with_citations
85041,Livingston v. Dorgenois,11 U.S. 577,1813-03-17,1,33986,html_with_citations
85042,Otis v. Bacon,11 U.S. 589,1813-03-17,1,8033,html_with_citations
85043,Thornton v. Carson,11 U.S. 596,1813-03-17,1,6789,html_with_citations
85044,Wallen v. Williams,11 U.S. 602,1813-03-17,1,5053,html_with_citations
85018,The Mutual Assurance Society v. Korn and Wisemiller,11 U.S. 396,1813-03-18,1,7849,html_with_citations
85019,Webster v. Hoban,11 U.S. 399,1813-03-18,1,2518,html_with_citations
85021,Ferguson v. Harwood,11 U.S. 408,1813-03-18,1,7589,html_with_citations
85022,Biays v. Chesapeake Insurance,11 U.S. 415,1813-03-18,1,7506,html_with_citations
85023,Stark v. The Chesapeake Insurance Company,11 U.S. 420,1813-03-18,1,9807,html_with_citations
85024,William Williams and Others v. George Armroyd and Others,11 U.S. 423,1813-03-18,1,29735,html_with_citations
85025,Smith and Buchanan v. The Delaware Insurance Company,11 U.S. 434,1813-03-18,1,4520,html_with_citations
1390946,Richards v. Maryland Insurance Co.,12 U.S. 84,1814-02-11,1,5661,html_with_citations
85046,Griffith v. Frazier,12 U.S. 9,1814-02-15,1,24719,html_with_citations
85047,Van Ness v. Forrest,12 U.S. 30,1814-02-15,1,14410,html_with_citations
6726533,Gracie v. Maryland Insurance,12 U.S. 84,1814-02-15,1,722,html_with_citations
85048,Bank of Alexandria v. Herbert,12 U.S. 36,1814-02-16,1,3011,html_with_citations
85049,Marcardier v. Chesapeake Insurance,12 U.S. 39,1814-02-17,1,9906,html_with_citations
85050,Hall v. Leigh,12 U.S. 50,1814-02-18,1,4646,html_with_citations
85051,The Common Council of Alexandria v. Preston,12 U.S. 53,1814-02-19,1,7148,html_with_citations
85056,Clementson v. Williams,12 U.S. 72,1814-02-19,1,2457,html_with_citations
85057,Gracie v. Marine Ins. Co. of Baltimore,12 U.S. 75,1814-02-19,1,5933,html_with_citations
85052,Pleasants v. Maryland Insurance Company,12 U.S. 55,1814-02-21,1,4694,html_with_citations
85053,McCall and Al. v. The Marine Insurance Company,12 U.S. 59,1814-02-21,1,15762,html_with_citations
85054,Smith and Others v. Edrington,12 U.S. 66,1814-02-23,1,4590,html_with_citations
85055,Beale v. Thompson,12 U.S. 70,1814-02-23,1,671,html_with_citations
85058,Gracie v. The Mary'd. Ins. Comp'y,12 U.S. 84,1814-02-25,1,2387,html_with_citations
85059,Crowell and Others v. M'fadon,12 U.S. 94,1814-02-28,1,12676,html_with_citations
6726534,Crowell v. McFadon,12 U.S. 94,1814-02-28,1,1571,html_with_citations
6726540,The Alexander,12 U.S. 169,1814-03-07,1,3936,html_with_citations
85068,Green v. Liter,12 U.S. 229,1814-03-11,1,23060,html_with_citations
85069,Carter's Heirs v. Cutting,12 U.S. 251,1814-03-11,1,4394,html_with_citations
85070,"The Venus, Rae, Master",12 U.S. 253,1814-03-12,3,204663,html_with_citations
85071,The Merrimack,12 U.S. 317,1814-03-12,1,18114,html_with_citations
85072,"The Frances, Boyer, Master. ( Thompson and Al. .)",12 U.S. 335,1814-03-12,1,36692,html_with_citations
1394601,The Frances,12 U.S. 363,1814-03-12,1,645,html_with_citations
85075,Vowles and Others v. Craig and Others,12 U.S. 371,1814-03-14,1,29001,html_with_citations
85074,"The Frances, Boyer, Master: Irvin’s Claim",12 U.S. 418,1814-03-15,3,13347,html_with_citations
85076,"The Sally, Porter, Master",12 U.S. 382,1814-03-15,1,2653,html_with_citations
85077,The Euphrates,12 U.S. 385,1814-03-15,1,3823,html_with_citations
85078,"The Mary, Stafford, Master",12 U.S. 388,1814-03-15,1,1386,html_with_citations
85079,United States v. 1960 Bags of Coffee,12 U.S. 398,1814-03-15,3,60718,html_with_citations
85080,United States v. Brigantine Mars,12 U.S. 417,1814-03-15,1,1003,html_with_citations
85081,"The Thomas Gibbons, Rockwell, Master",12 U.S. 421,1814-03-16,1,10499,html_with_citations
85082,Prince v. Bartlett,12 U.S. 431,1814-03-16,1,7328,html_with_citations
85083,"The St. Lawrence, Webb, Master",12 U.S. 434,1814-03-16,1,9780,html_with_citations
85084,"The Hiram, Barker, Master",12 U.S. 444,1814-03-16,1,8723,html_with_citations
85085,"The Joseph, Sargent, Master",12 U.S. 451,1814-03-16,1,5662,html_with_citations
85086,"The Grotius, Sheafe, Master",12 U.S. 456,1814-03-16,1,14490,html_with_citations
6726565,The Grotius,12 U.S. 456,1814-03-16,1,3301,html_with_citations
85060,Beatty's Administrators v. Burnes's Administrators,12 U.S. 98,1814-03-18,1,26566,html_with_citations
85061,Harford v. United States,12 U.S. 109,1814-03-18,1,2203,html_with_citations
85062,Brown v. United States,12 U.S. 110,1814-03-18,3,165836,html_with_citations
85063,"The Rapid, Perry, Master",12 U.S. 155,1814-03-18,1,21443,html_with_citations
85064,"The Alexander, Picket, Master",12 U.S. 169,1814-03-18,1,32702,html_with_citations
85065,"The Julia, Luce, Master",12 U.S. 181,1814-03-18,1,34729,html_with_citations
85066,"The Aurora, Pike, Master",12 U.S. 203,1814-03-18,1,6535,html_with_citations
85067,The Adventure,12 U.S. 221,1814-03-18,1,8952,html_with_citations
85087,Alexander and Other v. Pendleton,12 U.S. 462,1814-03-18,1,22647,html_with_citations
85088,Pratt v. Carroll,12 U.S. 471,1814-03-18,1,18083,html_with_citations
85090,Meigs and Al v. M'clung's Lessee,13 U.S. 11,1815-02-13,1,5699,html_with_citations
85091,Simms v. Guthrie,13 U.S. 19,1815-02-14,1,10947,html_with_citations
85093,Taber v. Perrott and Lee,13 U.S. 39,1815-02-15,1,4129,html_with_citations
85092,Speake & Others v. U. States,13 U.S. 28,1815-02-16,3,23996,html_with_citations
85094,TERRETT & OTHERS v. Taylor & Others,13 U.S. 43,1815-02-17,1,25995,html_with_citations
85095,The Brig Short Staple & Cargo v. United States,13 U.S. 55,1815-02-17,1,11280,html_with_citations
85089,Mandeville v. Union Bank of Georgetown,13 U.S. 9,1815-02-18,1,928,html_with_citations
85096,Parker v. Rule's Lessee,13 U.S. 64,1815-02-18,1,8610,html_with_citations
